epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,5951.57,0.69413,1.39313,1.26243,0.01032,0.27782,0.54381,0.41109,0.4389,0.35761,0.53742,0.38281,0.40484,0.30224,0.72663,1.4688,1.46012,0.01908,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,6205.54,0.68343,1.37803,1.22486,0.01005,0.27359,0.52593,0.42832,0.43353,0.35795,0.51191,0.40592,0.40765,0.30519,0.71216,1.50216,1.49503,0.01864,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,6459.65,0.68308,1.36231,1.21106,0.01012,0.26744,0.59152,0.39277,0.43068,0.35617,0.57543,0.36776,0.39859,0.30307,0.70901,1.45436,1.48843,0.01824,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,6707.41,0.67837,1.34572,1.19257,0.00999,0.26393,0.60148,0.39198,0.44105,0.36266,0.60847,0.38288,0.42327,0.30761,0.70863,1.48662,1.48267,0.01833,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,6956.6,0.67439,1.34189,1.17467,0.0099,0.26,0.54572,0.42899,0.45686,0.37497,0.53128,0.41093,0.41737,0.31401,0.71108,1.49097,1.45106,0.01836,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,7210.21,0.667,1.33027,1.16041,0.00988,0.25306,0.56002,0.41951,0.45168,0.3748,0.55304,0.39053,0.41526,0.31305,0.69107,1.51931,1.48283,0.01787,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,7464.1,0.66229,1.32043,1.13425,0.00966,0.24985,0.649,0.38852,0.44994,0.37182,0.62095,0.36083,0.40635,0.31383,0.71504,1.49516,1.4844,0.01864,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,7718.18,0.65701,1.3146,1.11951,0.00957,0.24794,0.56107,0.42361,0.45074,0.378,0.54013,0.40832,0.41723,0.31538,0.69487,1.44499,1.48648,0.01795,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,7972.06,0.65253,1.28351,1.08866,0.00953,0.24022,0.5467,0.43634,0.44932,0.37492,0.54611,0.41925,0.42285,0.31357,0.69621,1.46696,1.47396,0.01798,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,8225.81,0.6492,1.28513,1.07965,0.00947,0.23803,0.60677,0.39354,0.44286,0.36873,0.58679,0.3739,0.41101,0.31302,0.71516,1.43692,1.46741,0.01847,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,8478.73,0.64774,1.27433,1.06705,0.0094,0.23218,0.53661,0.43292,0.45485,0.37915,0.53715,0.39268,0.42449,0.31823,0.69214,1.48243,1.49246,0.01792,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,8730.15,0.64237,1.2637,1.04732,0.00938,0.22891,0.52209,0.43108,0.45631,0.38403,0.50258,0.41582,0.41736,0.31447,0.68518,1.50333,1.49959,0.01768,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,8983.06,0.63976,1.25016,1.02908,0.00923,0.2229,0.56121,0.43921,0.46375,0.3873,0.55003,0.41056,0.43056,0.32245,0.69456,1.52785,1.48147,0.01781,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,9237.69,0.6378,1.24818,1.02051,0.00928,0.22157,0.56969,0.42426,0.44381,0.36695,0.55681,0.40591,0.41427,0.31025,0.68297,1.47268,1.48656,0.01764,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,9485.72,0.63516,1.24394,1.01372,0.00924,0.21758,0.53863,0.44334,0.45489,0.38044,0.52002,0.42785,0.42778,0.31518,0.68925,1.50298,1.51308,0.01762,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,9735.56,0.63096,1.2339,0.99523,0.0091,0.2145,0.53859,0.44202,0.45546,0.37971,0.58543,0.40254,0.42093,0.31758,0.68602,1.46354,1.49869,0.01761,0,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,9983.17,0.62586,1.23273,0.9782,0.00911,0.21072,0.54587,0.47276,0.47355,0.39451,0.5745,0.42324,0.43879,0.32683,0.68343,1.47441,1.48735,0.01757,0,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,10231.1,0.62332,1.21789,0.97185,0.00901,0.20663,0.57322,0.44758,0.46843,0.39176,0.54178,0.42575,0.42842,0.32454,0.67113,1.44824,1.49167,0.01712,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,10479.5,0.61862,1.21135,0.95739,0.00892,0.20574,0.53261,0.47872,0.47947,0.40313,0.50924,0.44167,0.4421,0.33928,0.6812,1.51258,1.49264,0.01757,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
