epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
98,24715.7,0.47846,0.91411,0.54263,0.00647,0.09909,0.59898,0.46864,0.48815,0.42237,0.60136,0.43976,0.45529,0.34732,0.61399,1.62652,1.64122,0.01528,0,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,24950.5,0.47179,0.91245,0.53776,0.0064,0.0971,0.60629,0.46647,0.48657,0.42196,0.61833,0.43842,0.45817,0.34777,0.61389,1.62426,1.64003,0.01533,0,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,25185.1,0.47509,0.92001,0.53536,0.00645,0.09615,0.59841,0.47881,0.48881,0.42378,0.61568,0.442,0.46041,0.34995,0.61391,1.62647,1.63002,0.01529,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,25419.9,0.47215,0.91198,0.53084,0.00637,0.09593,0.59891,0.48178,0.48899,0.42406,0.58656,0.45763,0.46035,0.34867,0.61352,1.61688,1.63917,0.01528,0,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,25654.5,0.47058,0.90663,0.52905,0.00638,0.09511,0.58843,0.48353,0.48692,0.42445,0.57962,0.45803,0.45917,0.3481,0.61434,1.61691,1.63742,0.01533,0,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,25888.8,0.46751,0.90219,0.52313,0.0063,0.09463,0.58412,0.48065,0.4836,0.42195,0.57419,0.45647,0.45647,0.34655,0.61086,1.6219,1.65004,0.01525,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,26122.9,0.46561,0.89811,0.5224,0.00632,0.09346,0.57455,0.48629,0.4809,0.41982,0.57149,0.45528,0.45321,0.34335,0.61127,1.62733,1.64649,0.01527,0,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,26356.8,0.46538,0.89596,0.51667,0.0063,0.09108,0.57709,0.48292,0.48193,0.42112,0.57039,0.45458,0.45595,0.34532,0.60981,1.62717,1.65327,0.01524,0,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,26591,0.45954,0.88464,0.5069,0.0062,0.09016,0.56734,0.48485,0.48362,0.42219,0.57588,0.45177,0.45805,0.34667,0.60978,1.63128,1.65263,0.01523,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,26825.4,0.45872,0.89416,0.50563,0.00621,0.09004,0.56338,0.47759,0.4817,0.42081,0.61928,0.42758,0.457,0.34636,0.61012,1.62893,1.65389,0.01524,0,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,27060,0.45515,0.88219,0.49734,0.00608,0.0875,0.57849,0.47181,0.48125,0.42033,0.62774,0.41849,0.45693,0.34535,0.60966,1.63057,1.65802,0.01524,0,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,27294.7,0.45518,0.88,0.49481,0.00608,0.08767,0.59077,0.47494,0.48211,0.42184,0.58572,0.44831,0.45722,0.34628,0.60772,1.63501,1.66288,0.0152,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,27529.3,0.45171,0.87006,0.48592,0.00609,0.08607,0.6323,0.44704,0.4874,0.42596,0.63485,0.43088,0.46874,0.3516,0.60961,1.64688,1.66535,0.01525,0,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
